Issue Key,Test Summary,Priority,ExecutionStatus,ExecutionDefects,CreationDate,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Project,Version,Executed By,Executed On
FPR-44,[PUT] - EDIT employee work experience,Medium,PASS,,5/15/2022 21:41,1,"Open Postman collection and check PUT ""EDIT employee work experience"" .","{     ""id"": 7,     ""seqId"": seqId,     ""company"": ""Company 011"",     ""title"": ""QA Tester"",     ""fromDate"": ""2022-04-01"",     ""toDate"": ""2024-12-24"",     ""comment"": ""work experience current work""   }","HTTP/1.1 200 OK  {  ""success"":""Successfully Updated""  }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 22:17
FPR-31,[GET] - Work experience when no entries are registered,Medium,PASS,,5/15/2022 21:41,1,"Open Postman collection and check GET ""work experience when no entries are registered"" .",,"HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" } }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 21:42
FPR-45,[PUT] - EDIT employee work experience when user Id not existing,Medium,FAIL,FPR-53 | FPR-53,5/15/2022 21:41,1,"Open Postman collection and check PUT ""EDIT employee work experience when user Id not existing"" .","{     ""id"": ""a885478"",     ""seqId"": seqId,     ""company"": ""Company 011"",     ""title"": ""QA Tester"",     ""fromDate"": ""2022-04-01"",     ""toDate"": ""2024-12-24"",     ""comment"": ""work experience current work""   }","HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 22:17
FPR-46,[PUT] - EDIT employee work experience when record not found,Medium,FAIL,FPR-54 | FPR-54,5/15/2022 21:41,1,"Open Postman collection and check PUT ""EDIT employee work experience when record not found"" .","{     ""id"": 7,     ""seqId"": ""aade"",     ""company"": ""Company 011"",     ""title"": ""QA Tester"",     ""fromDate"": ""2022-04-01"",     ""toDate"": ""2024-12-24"",     ""comment"": ""work experience current work""   }","HTTP/1.1 404 Not Found {   ""error"": ""Work Experience Record Not Found"" }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 22:27
FPR-32,[GET] - Work experience when at least one entry registered,Medium,FAIL,FPR-51 | FPR-51,5/15/2022 21:41,1,"Open Postman collection and check GET ""work experience when at least one entry registered"" .",,"HTTP/1.1 200 OK with body :  {     ""data"": [         {             ""id"": ""Work experience id"",             ""company"": ""Company name"",             ""jobTitle"": ""Job title"",             ""fromDate"": Experience from date,             ""toDate"": 	 Experience to date,             ""comment"": ""Work experience comment""         }     ] }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 21:48
FPR-33,[POST] - Add work experience,Medium,PASS,,5/15/2022 21:41,1,"Open Postman collection and check POST ""ADD employee work experience"" .","{     ""id"": 7,     ""company"": ""Company 011"",     ""title"": ""QA Tester"",     ""fromDate"": ""2022-04-01"",     ""toDate"": ""2024-12-24"",     ""comment"": ""work experience current work""   }","HTTP/1.1 200 OK  {  ""success"":""Successfully Saved"", ""seqId"":<current id>  }     ] }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 21:47
FPR-56,[DELETE] - DELETE employee work experience when record not found,Medium,FAIL,FPR-54 | FPR-54,5/16/2022 12:06,1,"Open Postman collection and check DELETE ""DELETE employee work experience when record not found"" .","{     ""id"": 7,     ""seqId"":"""" }","HTTP/1.1 404 Not Found {   ""error"": ""Work Experience Record Not Found"" }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/16/2022 12:07
FPR-35,[POST] - Add work experience when mandatory fields are missing,Medium,FAIL,FPR-52 | FPR-52,5/15/2022 21:41,1,"Open Postman collection and check POST ""ADD employee work experience when mandatory fields are missing"" .","{     ""id"": """",     ""company"": """",     ""title"": """",     ""fromDate"": ""2022-04-01"",     ""toDate"": ""2024-12-24"",     ""comment"": ""work experience current work""   }","HTTP/1.1 404 Not Found {     ""error"": {         ""status"": ""404"",         ""text"": ""company must not be empty""     } }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 22:14
FPR-47,[DELETE] - DELETE employee work experience,Medium,PASS,,5/15/2022 21:41,1,"Open Postman collection and check DELETE ""DELETE employee work experience"" .","{     ""id"": 7,     ""seqId"":{{seqId}} }","HTTP/1.1 200 OK  {  ""success"":""Successfully Deleted""  }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 22:29
FPR-55,[DELETE] - DELETE employee work experience when user not found,Medium,FAIL,FPR-54 | FPR-54,5/16/2022 12:06,1,"Open Postman collection and check DELETE ""DELETE employee work experience when user not found"" .","{     ""id"": """",     ""seqId"":{{seqId}} }","HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/16/2022 12:11
FPR-34,[POST] - Add work experience when employee id is wrong,Medium,FAIL,FPR-52 | FPR-52,5/15/2022 21:41,1,"Open Postman collection and check POST ""ADD employee work experience when employee id not found"" .","{     ""id"": """",     ""company"": ""Company 011"",     ""title"": ""QA Tester"",     ""fromDate"": ""2022-04-01"",     ""toDate"": ""2024-12-24"",     ""comment"": ""work experience current work""   }","HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" }",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/15/2022 21:53
