Issue Key,Test Summary,Priority,ExecutionStatus,ExecutionDefects,CreationDate,OrderId,Step,Test Data,Expected Result,Step Result,Project,Version,Executed By,Executed On
FPR-18,[Work experience] - Verify that job title field is a mandatory field.,Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:49
FPR-18,[Work experience] - Verify that job title field is a mandatory field.,Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:49
FPR-18,[Work experience] - Verify that job title field is a mandatory field.,Medium,PASS,,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:49
FPR-18,[Work experience] - Verify that job title field is a mandatory field.,Medium,PASS,,5/10/2022 10:36,4,Fill in all fields except Job title.,,All fields are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:49
FPR-18,[Work experience] - Verify that job title field is a mandatory field.,Medium,PASS,,5/10/2022 10:36,5,Press Save button.,,"A warning message ""Required"" is displayed below Job tile field.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:49
FPR-18,[Work experience] - Verify that job title field is a mandatory field.,Medium,PASS,,5/10/2022 10:36,6,Fill in Job title field and press Save.,,Job title field is editable. New Work Experience is added.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:49
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,1,Precondition:  Run test case #FPR-22,,,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,2,In Work experience view click on one work experience link.,,Work experience edit form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,3,Modify Company value. Add a value with 100 characters,"Use special, alphabetic and numeric characters.",Company field allows 100 characters.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,4,Add a value with 101 characters into Company field.,"Use special, alphabetic and numeric characters.","Company field allows only 100 characters, cannot type 101st character.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
