Issue Key,Test Summary,Priority,ExecutionStatus,ExecutionDefects,CreationDate,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Project,Version,Executed By,Executed On
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,3,Go to Education section and press Add button.,,Education section is visible. Add button is enabled. Add Education form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,4,Fill in Level field.,,Level field is filled in.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,5,Type date into End Date field.,Type various date formats:  dd-mm-yyyy dd.mm.yyyy yyyy/mm/dd,User should not be allowed to type date.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,6,Select date for Start Date field using calendar icon. Choose different month and year than current date.,,Calendar icon is enabled for selection. Year and months can be changed. End Date field is populated with selected date in format yyyy-mm-dd.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-63,[Education] - Verify that End Date field is date type,Medium,FAIL,FPR-114 | FPR-114,5/17/2022 22:29,7,Press Save button.,,New Education is added and End Date  value is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:24
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,1,Precondition:  Run test case #FPR-106,,,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,2,"In ""License"" view click on one ""License Type"" link.",,"""Add License"" edit form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,3,"Select a different ""License Type"" value.",,"""License Type"" value is not editable.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,4,"Modify ""License Number"" value.  Add a value with 50 characters.","Use special, alphabetic and numeric characters.","""License Number"" field is editable and allows 50 characters.  New value was added.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,5,"Modify ""License Number"" value.  Add a value with 51 characters.",,"""License Number"" field allows only 50 characters.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,6,"Type date into ""Issued Date"" field.",Type various date formats:  dd-mm-yyyy dd.mm.yyyy yyyy/mm/dd,User should not be allowed to type date.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,7,"Type date into ""Expiry Date"" field.",Type various date formats:  dd-mm-yyyy dd.mm.yyyy yyyy/mm/dd,User should not be allowed to type date.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,8,"Select date for ""Issued Date"" field using calendar icon.",Choose a future date.,Future dates are not allowed.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,9,"Select date for ""Issued Date"" field using calendar icon.  Choose a different date than current date.",,Calendar icon is enabled for selection. Year and months can be changed.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,10,"Select date for ""Expiry Date"" field using calendar icon.  Choose a different date than current date.",,Calendar icon is enabled for selection. Year and months can be changed.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
